KR,KRR,DR,DRR,AR,ARR,Ps,Psv,Qs,x,y,z,vx,vy,vz
2.5646274679067633,0.0006574814297983356,0,0,0,0,4,0.1,-8,-6330340.403073899,3307260.428880725,128554.50233483536,-3438.017507400013,-6632.933104688058,-235.56449195945717
4.87042051333904,0.0034635975108782725,0,0,0,0,4,0.1,-9,-6330167.971375165,3305692.5751386853,126463.0350011183,-3438.1582582839756,-6634.128867639467,-233.48284025071976
19.84802006719383,0.025194686618309012,0,0,0,0,4,0.1,-10,-6330807.04782096,3316620.552853083,140301.41296893885,-3442.785141337728,-6624.786784832989,-234.2194917666434
39.61470489703391,0.059568423656305824,0,0,0,0,4,0.1,-11,-6319425.679760115,3327612.720703295,114444.7263273763,-3478.930911647327,-6617.416877473209,-193.27908306560266
40.27356849998215,0.06118495004698299,0,0,0,0,4,0.1,-12,-6318913.691187114,3328661.7904359563,113475.16184571003,-3481.4457367691725,-6616.3650972669075,-190.4407583052964
40.28037757084315,0.06120180579613004,0,0,0,0,4,0.1,-13,-6318908.312035226,3328672.808423685,113465.04591693684,-3481.4721726652688,-6616.3540082048685,-190.41099394594528
1.029779811543701,0.00025239444154658583,0,0,0,0,4,1.1,-8,-6330264.201353586,3307011.9508021604,128138.36471289131,-3437.9631917877073,-6633.18077964339,-235.47665784535135
2.336591706406444,0.0013728303512547597,0,0,0,0,4,1.1,-9,-6330049.618809142,3306532.610184748,127044.3305953306,-3437.6679297530072,-6633.889895703504,-235.806484845498
10.207796180881369,0.006153093670543945,0,0,0,0,4,1.1,-10,-6330500.203888331,3308421.510706735,129764.10485117683,-3438.812745232918,-6631.768839565262,-234.90170698254423
11.532212151974507,0.008111250585705141,0,0,0,0,4,1.1,-11,-6331215.489743058,3310662.1423174287,132721.2360253617,-3443.7461849774113,-6627.73326494446,-226.06469614358645
11.549487994142067,0.008158418167172318,0,0,0,0,4,1.1,-12,-6331231.722735314,3310738.149491157,132806.12359954623,-3443.89793514085,-6627.610594955637,-225.81311078283858
11.549659427197073,0.008158895895174224,0,0,0,0,4,1.1,-13,-6331231.887297961,3310738.925492392,132806.98777430938,-3443.899482309779,-6627.609344539218,-225.8105490254706
7.329072317485599,0.0021100869507577075,0,0,0,0,5,0.1,-8,-6330597.85771321,3308111.268964293,129973.86741094805,-3438.197699925087,-6632.091005311846,-235.88726620229514
15.64244106228642,0.012788700957817263,0,0,0,0,5,0.1,-9,-6330585.338800237,3298894.4500729134,120488.19986500117,-3441.0633177167097,-6637.000043900313,-217.83622873327474
15182.308261111046,2.8056884150315184,0,0,0,0,5,0.1,-10,-11446601.290342875,25688645.287736572,-348335.1380776835,-7016.202850546024,1751.5738107442128,309.3261286928508
3.2940095511117997,0.0008675839898861923,0,0,0,0,4,0,-8,-6330376.547545866,3307382.1339003597,128755.87629268048,-3438.0421377950447,-6632.813921366826,-235.61516144771667
6.450014290452364,0.0046676834055232735,0,0,0,0,4,0,-9,-6330170.0865504285,3305019.981908862,125785.17360810061,-3438.3764435665053,-6634.482813174082,-232.1547477398687
31.903897889628684,0.06274789138298945,0,0,0,0,4,0,-10,-6341541.749709413,3328253.3640732807,166405.9700466146,-3464.608198554409,-6597.658579611881,-180.63093662624937
166.6799783330259,0.6026509575325082,0,0,0,0,4,0,-11,-6244983.205967019,3763887.320488175,261982.97813282904,-3882.4146791881226,-6216.673283016207,129.5135622373227
172.06642245688448,0.6165409187531793,0,0,0,0,4,0,-12,-6255355.319017107,3768045.3561758287,266787.52801472595,-3878.3153805417705,-6207.208787941035,143.31815288592549
172.12159673681967,0.6166789786289848,0,0,0,0,4,0,-13,-6255460.211516867,3768074.1362658916,266824.88399228064,-3878.257092155424,-6207.134963580435,143.42588434123778
0.3406576606917669,9.795299953581307e-05,0,0,0,0,4,1,-8,-6330244.471867107,3306929.5005144845,128012.32917969066,-3437.9544639545757,-6633.252851906906,-235.41133235222625
0.6358527761498399,0.0005206610391872641,0,0,0,0,4,1,-9,-6330225.145957077,3306765.9217751166,127587.51664523337,-3437.925933582788,-6633.454752751136,-235.20570524239852
1.9295371070504321,0.0014997260965926118,0,0,0,0,4,1,-10,-6330181.006478023,3307311.1947212094,128145.6765207716,-3437.830310547528,-6633.198698876022,-236.02469523354654
2.0682418193370675,0.0019404025488212455,0,0,0,0,4,1,-11,-6330273.145208263,3307933.553636769,128843.29202110687,-3438.8419961863533,-6632.325138095563,-234.51361562296756
2.070097994973475,0.001951426318438147,0,0,0,0,4,1,-12,-6330275.732557187,3307954.964568089,128865.65492903156,-3438.8758023923465,-6632.296092707371,-234.46545193312258
2.0701167460882886,0.0019515385766398544,0,0,0,0,4,1,-13,-6330275.758961893,3307955.1837528227,128865.88369793481,-3438.876148054722,-6632.295795605289,-234.46496000005698
6.9103208993310385,0.0019807123251743657,0,0,0,0,5,0,-8,-6330574.638561255,3308037.4767622645,129848.72782186311,-3438.180577532772,-6632.1656808753305,-235.86512004760982
14.581117675494701,0.011773243586823568,0,0,0,0,5,0,-9,-6330490.468549001,3299849.190014963,121251.2244524013,-3440.598609951168,-6636.659864703348,-220.24311522147755
15954.316742113459,2.7601262954145316,0,0,0,0,5,0,-10,89038.64757477223,26098111.97570837,24223.736498806735,-5540.147877382879,5026.08502828939,-176.22749131615512
19378.320963426675,3.418430685578974,0,0,0,0,5,0,-11,-13141596.533859119,-18381784.005662724,2961883.078972643,672.051187480771,-5106.1031098696185,1330.1977640135005
