KR,KRR,DR,DRR,AR,ARR,Ps,Psv,Qs,x,y,z,vx,vy,vz
2.66878366480647,0.0008498088486074419,0.5827248273326721,0.0011659162895772369,0.9278827381216062,0.0013062551561122307,5,0,-9,-6330354.841847415,3307172.5630992823,128052.87784455057,-3438.0055730509453,-6633.042145127317,-235.38178192037074
2.6759757186535373,0.0012365794416725492,0.6160890667345114,0.0015195703447170405,0.9295051016479058,0.00143965083302425,5,0,-10,-6330169.392472299,3307614.3545229714,128136.33929219533,-3438.378347886678,-6632.819011479615,-235.24123041979144
2.678661607354291,0.0013552452165304782,0.6386261646674294,0.001691066871029229,0.9257128030204402,0.0013039076499463701,5,0,-11,-6330122.320631407,3307702.6906005596,128156.08115300507,-3438.478401439153,-6632.7739659291265,-235.19518686242182
2.678701068401719,0.0013569502156181423,0.639015657936398,0.001693902767674888,0.9256538816340969,0.001301240923041462,5,0,-12,-6330121.713373527,3307703.8375388863,128156.36120817045,-3438.479708024819,-6632.773371369657,-235.19460182310183
3.654084651745082,0.0011456346267451937,0.7286508279575513,0.0015823285708602376,1.2316560631029774,0.0013834493859996256,5,1,-9,-6330338.730547139,3307197.582877753,127947.32203785022,-3438.0028291655217,-6633.043594351038,-235.48360663173517
3.664499073256727,0.001548188247361184,0.7614846733207744,0.0019079573280504428,1.2511499514492088,0.0018164159763601965,5,1,-10,-6330131.992585269,3307796.5254202764,128039.34486186506,-3438.4594830004253,-6632.710629013571,-235.44424597120863
3.6665707848004927,0.001646302533764235,0.7666596806642559,0.001952622344353724,1.2515526768268554,0.0018621766796399167,5,1,-11,-6330033.385574771,3308073.275104367,128153.94174935392,-3438.743782695789,-6632.521634844928,-235.44682297854
3.66661862197687,0.0016484958284735327,0.7667727333007458,0.0019535420003808195,1.2515585478675382,0.0018631880528009194,5,1,-12,-6330031.134183797,3308079.976814913,128157.05459399147,-3438.750667064833,-6632.5168725160365,-235.44732742087032
2.682719887339815,0.0008569460036814086,0.5841476439654192,0.0011676237107361718,0.9355952608145202,0.0013069839182678897,6,0,-9,-6330354.820996812,3307172.589329639,128052.21674700065,-3438.0055461480893,-6633.042173765876,-235.38184893204084
2.6898426595836207,0.0012398869468024118,0.6169100646925447,0.001517159917164568,0.9373327020607163,0.0014437605929019921,6,0,-10,-6330169.362427071,3307615.5988364466,128135.72644981256,-3438.378932503909,-6632.8180324915165,-235.2423175013678
2.692497183372361,0.0013575575546066003,0.6390774405709269,0.0016864304560553016,0.9335949283015368,0.0013099793718351464,6,0,-11,-6330121.845909273,3307705.6807825034,128156.42962496182,-3438.480697202471,-6632.77161319676,-235.19674927651965
2.6925362483030586,0.001359252225541841,0.6394605869887771,0.0016892300978278677,0.9335366996717503,0.001307350335452789,6,0,-12,-6330121.223865262,3307706.8791878764,128156.73793474388,-3438.4820558342485,-6632.770979354083,-235.1961738605874
23.326128848207972,0.03637890343621227,22.83864313323752,0.06740153262264216,14.8990608203803,0.015578481672459508,6,1,-9,-6328819.299100363,3308549.6351359375,123111.06069461454,-3437.723284683506,-6633.704031448844,-244.0564659243485
54.45104175715972,0.20266186903449734,69.11485886611567,0.2976421670519984,47.30495643845836,0.23713892295769348,6,1,-10,-6287570.688211957,3394930.3042993424,112240.49631699634,-3512.143064980501,-6589.689734141992,-268.3791491928798
95.969388103291,0.398186114392276,101.83910384333822,0.4405562849523446,67.4784158856561,0.3744177132879488,6,1,-11,-6209890.5738101415,3557314.925061826,107373.63105832736,-3670.2988117061964,-6491.950580835511,-270.7812251995969
96.64423591766919,0.40130014489868915,102.38503317842937,0.44292989745362465,67.7676244105366,0.3764714016911496,6,1,-12,-6208571.275524428,3560012.6346487277,107305.17322722042,-3672.9190951677647,-6490.268961629498,-270.72962835164594
2.8516478530510967,0.0009512848515230457,0.7841647776230131,0.0020782246819435277,1.163129914118095,0.0016698170360800826,7,0,-9,-6330028.634626485,3307602.4135702155,126872.20291013602,-3438.079889795636,-6633.020595650178,-237.95599572502584
2.875578669685564,0.0017367540372329817,2.356035392910843,0.015760813413617916,1.4422647671807196,0.0019204822058106375,7,0,-10,-6330336.039240436,3307352.0762883415,128254.35770420152,-3438.185797741475,-6632.905800826306,-234.67343116149124
2.8853738094311807,0.0025210612079742886,1.4830963928203742,0.015377539160899066,2.402173837971632,0.00285917745097778,7,0,-11,-6330327.253292994,3307237.082858962,127572.48608573258,-3437.839286019069,-6633.140678428885,-235.21519592689478
2.886490482794951,0.0025531843033480476,1.453074916073441,0.015292326652582306,2.43555536199071,0.00288952227228412,7,0,-12,-6330325.686362296,3307238.8781923954,127549.85972949195,-3437.8313312740775,-6633.144835071502,-235.2356416027456
22.814318052966552,0.03529976581060213,22.244299306344196,0.0654659794272089,14.673218194261514,0.015273412260181087,7,1,-9,-6328842.034256472,3308514.405553314,123038.52580197752,-3437.725718328024,-6633.706610980718,-243.92666698327784
50.663814734445495,0.18577357185411508,65.10000791614733,0.2799766062634245,44.582566473615294,0.2210353589357536,7,1,-10,-6291388.637909837,3387318.066156352,113306.79913281898,-3505.049350804903,-6593.68844342558,-267.82324567923814
90.51658589359813,0.37476204682001896,96.7502413711834,0.41849834376180495,64.01937895542873,0.3546250263331919,7,1,-11,-6216427.039093549,3543301.5970123294,108922.26243158273,-3658.067945115001,-6500.149956931799,-271.8584505656636
91.18550952383936,0.37785874199093905,97.29480387483943,0.4208689764673401,64.30460311897303,0.3566679471654781,7,1,-12,-6215120.50305772,3545964.9422645923,108873.91968726508,-3660.678423348715,-6498.494143688289,-271.82161429292324
