KR,KRR,DR,DRR,AR,ARR,Psx,Psy,Psz,x,y,z,vx,vy,vz
0.03858995767277614,3.142787455030751e-05,0.045623151179659434,2.881307423414286e-05,0.08270929377583497,2.500935459859275e-05,3,3,3,-6516471.311460046,2920188.300724996,114422.46159247411,-3033.2297244170795,-6829.2538909705945,-243.41611035705796
0.038569393400795945,3.1300510826122235e-05,0.045501189846301034,2.879322901346391e-05,0.08257072116075649,2.501234029813823e-05,3,3,4,-6516473.351238808,2920183.6308976877,114422.30563966418,-3033.2248297958567,-6829.256091847816,-243.41620275492235
0.038571375677690964,3.1368169862379955e-05,0.04556167678020661,2.8838538203685155e-05,0.08266384470804548,2.501093156139064e-05,3,4,3,-6516472.384088196,2920185.8452982097,114422.37964403305,-3033.2271505765702,-6829.255048202543,-243.41615892051172
0.03857309485167586,3.134553303848172e-05,0.045515486487369194,2.885073015610121e-05,0.08262971193205365,2.5011572380542138e-05,3,4,4,-6516472.942465601,2920184.5668219137,114422.33692581177,-3033.2258107010566,-6829.2556507483405,-243.41618420627918
0.038615023871953466,3.141485942665567e-05,0.045616228044228296,2.8798981884328673e-05,0.08266583717034537,2.5009791179986967e-05,4,3,3,-6516471.885978662,2920186.985296741,114422.41761183475,-3033.2283458052257,-6829.254510931243,-243.41613641087284
0.03860605745727871,3.134830752909671e-05,0.04554173548950364,2.888824851232735e-05,0.08258762764550828,2.5011571948425332e-05,4,3,4,-6516473.310781834,2920183.723542383,114422.3087068249,-3033.224926859418,-6829.256048188311,-243.41620094727364
0.03856028659332063,3.119717530226172e-05,0.04543541357931509,2.879045800765496e-05,0.08254769623584617,2.501578704792912e-05,4,4,3,-6516475.348142508,2920179.0596457194,114422.15298729297,-3033.220038121759,-6829.258246252192,-243.41629323497344
0.038650735610194685,3.140347730113993e-05,0.04556647082318772,2.86793219906276e-05,0.08262345661298175,2.5010336508621196e-05,4,4,4,-6516472.7005116055,2920185.121005964,114422.35539379765,-3033.226391375563,-6829.255389549447,-243.41617330450916
0.04150419190453112,3.073232229640604e-05,0.04455261576793938,2.8498398910874508e-05,0.08189791588577632,2.504555930882804e-05,5,5,5,-6516495.592189392,2920132.7160848435,114420.60349561277,-3033.1714608371935,-6829.280087477994,-243.4172123192619
