KR,KRR,DR,DRR,AR,ARR,Q_sigma,P_sigma,Pv_sigma
0.0736010039590974,0.000133771488789569,0.107275584301495,0.000139103560391148,0.143759918575206,2.88363094998096E-05,1.00E-08,1.00E+06,1.00E+00
0.073618043253797,0.000133783672330341,0.107258820701745,0.000139100407060045,0.143628677797411,2.88264402587917E-05,1.00E-08,1.00E+05,1.00E+00
0.0740584416859626,0.000133981716818848,0.107163725363848,0.000138515135178319,0.142197363754054,2.87250667775838E-05,1.00E-08,1.00E+07,1.00E+00
0.0743820607539511,1.72533079733408E-05,0.0544584648956993,3.35170990725945E-05,0.131974620263791,1.0603319532634E-05,1.00E-06,1.00E+07,1.00E+00
0.0764036993693109,0.000131369172602108,0.130801879543246,0.000183821497001237,0.151492665611848,2.8583437922703E-05,1.00E-08,1.00E+03,1.00E+00
0.0782115471608025,0.000136339446335731,0.106111382820763,0.000137132335145319,0.124973218660244,2.74977066529195E-05,1.00E-08,1.00E+04,1.00E+00
0.0787878814563536,1.81811731973723E-05,0.0538474571366705,3.47431435395938E-05,0.124308502240954,1.0541919817865E-05,1.00E-06,1.00E+06,1.00E+00
0.078814520616767,1.81967302077563E-05,0.0538507383325553,3.47549207968986E-05,0.124239164766418,1.05412829206235E-05,1.00E-06,1.00E+05,1.00E+00
0.0800124306326683,4.16467009600205E-05,0.0628630337318963,4.04434363519941E-05,0.14020504636131,2.48232666697529E-05,1.00E-07,1.00E+06,1.00E+00
0.0800965492504328,4.16712672256377E-05,0.0628845212722103,4.04542446524385E-05,0.139960481263062,2.48107170152445E-05,1.00E-07,1.00E+05,1.00E+00
0.0805977099398679,4.17819411356565E-05,0.0629929667289704,4.04003633234192E-05,0.138417856846548,2.47380662675066E-05,1.00E-07,1.00E+07,1.00E+00
0.0821266933455562,4.05034988147355E-05,0.0987970006057012,0.000127985608757443,0.147521877590239,2.45460968576591E-05,1.00E-07,1.00E+03,1.00E+00
0.0830113828651901,1.67381008937917E-05,0.0942678078783678,0.000126052132403838,0.118840821236285,1.06624890034726E-05,1.00E-06,1.00E+03,1.00E+00
0.0836031965008838,2.06667437791404E-05,0.0543619295351489,3.66947935469907E-05,0.115354039813717,1.04580932287985E-05,1.00E-06,1.00E+04,1.00E+00
0.0863761980457216,4.38641575079818E-05,0.0645322030952603,4.17086781214308E-05,0.121727365962172,2.38939427781663E-05,1.00E-07,1.00E+04,1.00E+00
0.101753996495287,0.000229024472392374,0.109405340602757,0.000172097299155321,0.143803967125263,2.88919220369546E-05,1.00E-09,1.00E+06,1.00E+00
0.101767714804125,0.000229035246937479,0.109388148024265,0.000172104608960757,0.143673805048161,2.88820949056707E-05,1.00E-09,1.00E+05,1.00E+00
0.101894805659194,0.000229051599169594,0.109270235846291,0.000171117736191832,0.14224115351882,2.87801632684345E-05,1.00E-09,1.00E+07,1.00E+00
